City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Thunder Bay,CA,76.98,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
496,Carutapera,BR,75.42,broken clouds,-1.195,-46.02,Lidera
499,Richmond,US,82.4,scattered clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
502,Manicore,BR,82.35,clear sky,-5.8092,-61.3003,Hotel Durval
503,Zhezkazgan,KZ,71.58,clear sky,47.8043,67.7144,Hotel Zumrat
505,Kavaratti,IN,81.64,overcast clouds,10.5669,72.642,Green leaf
506,Biak,ID,74.43,light rain,-0.9131,122.8766,Penginapan Kim
510,North Augusta,US,86.31,few clouds,33.5018,-81.9651,Ramada by Wyndham Augusta Downtown Hotel & Conference Center
511,Aswan,EG,83.88,few clouds,24.0934,32.907,Nuba Nile
512,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
514,Porto Santo,PT,68.38,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
515,Ilhabela,BR,71.85,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
517,Abong Mbang,CM,66.38,overcast clouds,3.9833,13.1833,Auberge Angle Sur
519,Auki,SB,84.78,overcast clouds,-8.7676,160.7034,Auki Motel
520,Qingdao,CN,82.0,mist,36.0986,120.3719,Le Meridien Qingdao
521,Fort Frances,CA,84.42,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
524,Broome,US,79.18,clear sky,42.2506,-75.833,Chenango Valley State Park
528,Nyaunglebin,MM,77.13,overcast clouds,17.95,96.7333,Thi ha
529,Jacareacanga,BR,81.16,broken clouds,-6.2222,-57.7528,Casa do Ian😎
530,Dumabato,PH,82.15,overcast clouds,16.3167,121.7,JBT Mountain View & Recreational Place
531,Kralendijk,BQ,82.38,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
532,Jose Bonifacio,BR,78.06,broken clouds,-21.0528,-49.6883,HOTEL DOS VIAJANTES
533,Tecoanapa,MX,81.34,overcast clouds,16.5167,-98.75,Hotel Manglares
535,Kulu,TR,65.16,clear sky,39.0951,33.0799,Kapadokya Motel
536,Muli,MV,82.74,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
542,Cuiluan,CN,70.99,broken clouds,47.72,128.648,Shuncheng Hotel
543,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
545,Lasa,IT,72.48,clear sky,46.6166,10.7002,Pension Feldgärtenhof
546,Sioux Lookout,CA,82.47,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
547,Mitsamiouli,KM,76.39,clear sky,-11.3847,43.2844,Foyer ADM
548,Presidente Medici,BR,79.99,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
552,Matagami,CA,73.51,clear sky,49.7502,-77.6328,Motel Le Caribou
553,Cavalcante,BR,69.51,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
554,Tuy Hoa,VN,78.75,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
555,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
558,Palmer,US,82.0,scattered clouds,42.1584,-72.3287,Wedgewood Motel
559,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
560,Aksu,CN,70.29,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
561,Saint-Pierre,RE,66.9,scattered clouds,-21.3393,55.4781,Alize Plage
562,Sarankhola,BD,82.06,scattered clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
563,Mweka,CD,76.05,broken clouds,-4.85,21.5667,Guest House Boshab
565,Halifax,CA,72.48,scattered clouds,44.6453,-63.5724,Hotel Halifax
568,Mahibadhoo,MV,82.42,scattered clouds,3.7833,72.9667,Omadhoo Inn
569,Suez,EG,73.31,clear sky,29.9737,32.5263,Green House
570,Mersin,TR,76.69,clear sky,36.862,34.6509,Nostalgia Boutique Hotel
572,Itaqui,BR,65.97,overcast clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
576,Singkang,MY,76.8,scattered clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
577,Samarai,PG,78.37,overcast clouds,-10.6167,150.6667,Nuli Sapi
578,Galveston,US,86.18,clear sky,29.3669,-94.9669,Crystal Suites
